ENTIDAD;CODIGO_UNIDAD_EJECUTORA;VIGENCIA;RUBRO;DESCRIPCION
230;01;2019;2-01-002-05-01-01-0001-00;SERVICIOS ADMINISTRATIVOS DEL GOBIERNO
230;01;2019;2-02-001-01-04-00-0000-00;Ley 1697/2013 Pro Universidad Nacional y demás Universidades Estatales
230;01;2019;2-02-001-01-09-01-0000-00;Transferencias de la Nación por artículo 86 Ley 30/1992
230;01;2019;2-02-001-01-09-02-0000-00;Transferencias de la Nación por artículo 87 Ley 30/1992
230;01;2019;2-02-001-01-09-03-0000-00;Transferencias de la Nación por el 10% del valor de la 403/97
230;01;2019;2-04-003-03-02-01-0000-00;Recursos de Inversión Ministerio de Educación Nacional vigencias anteriores
230;01;2019;2-04-003-03-02-03-0000-00;Estampilla Pro Universidad Distrital Ley 1825 de 2017 vigencias anteriores
230;01;2019;2-04-003-03-02-04-0000-00;Ley 1697/2013 Pro Universidad Nacional y demás Universidades Estatales vigencias anteriores
230;01;2019;2-04-003-03-02-05-0000-00;Aportes del Distrito vigencias anteriores
230;01;2019;2-04-005-02-04-00-0000-00;Recursos propios de libre destinación
230;01;2019;2-04-007-01-00-00-0000-00;ESTABLECIMIENTOS PÚBLICOS
230;01;2019;2-04-009-01-00-00-0000-00;REINTEGROS I.V.A. LEY 30
230;01;2019;2-04-009-02-01-01-0000-00;Administrativos
230;01;2019;2-05-001-01-01-00-0000-00;Aportes Según Ley 30
230;01;2019;2-05-003-02-00-00-0000-00;Estampilla Pro Universidad Distrital Ley 1825 de 2017
230;01;2019;2-05-009-00-00-00-0000-00;CUOTAS PARTES
230;01;2019;3-01-001-01-01-01-0001-01;Sueldo Administrativos
230;01;2019;3-01-001-01-01-01-0001-02;Sueldo Docentes
230;01;2019;3-01-001-01-01-01-0004-01;Gastos de Representacion Administrativos
230;01;2019;3-01-001-01-01-01-0005-01;Horas extras Administrativos
230;01;2019;3-01-001-01-01-01-0008-01;Bonificación por servicios prestados Administrativos
230;01;2019;3-01-001-01-01-01-0008-02;Bonificación por servicios prestados Docentes
230;01;2019;3-01-001-01-01-01-0010-01;Prima de Navidad Administrativos
230;01;2019;3-01-001-01-01-01-0010-02;Prima de Navidad Docentes
230;01;2019;3-01-001-01-01-01-0011-01;Prima de Vacaciones Administrativos
230;01;2019;3-01-001-01-01-01-0011-02;Prima de Vacaciones Docentes
230;01;2019;3-01-001-01-01-02-0001-01;Prima de Antiguedad Administrativos
230;01;2019;3-01-001-01-01-02-0002-01;Prima Técnica Administrativos
230;01;2019;3-01-001-01-01-02-0003-01;Prima Semestral Administrativos
230;01;2019;3-01-001-01-01-02-0003-02;Prima Semestral Docentes
230;01;2019;3-01-001-01-02-01-0001-01;Aportes pensiones Administrativos
230;01;2019;3-01-001-01-02-01-0001-02;Aportes pensiones Docentes
230;01;2019;3-01-001-01-02-01-0002-01;Aportes Pensiones Privadas Administrativos
230;01;2019;3-01-001-01-02-01-0002-02;Aportes Pensiones Privadas Docentes
230;01;2019;3-01-001-01-02-02-0001-01;Aportes salud Administrativos
230;01;2019;3-01-001-01-02-02-0001-02;Aportes salud Docentes
230;01;2019;3-01-001-01-02-02-0002-01;Aportes Salud  Privadas Administrativos
230;01;2019;3-01-001-01-02-02-0002-02;Aportes Salud  Privadas Docente
230;01;2019;3-01-001-01-02-03-0001-01;Cesantias Administrativos
230;01;2019;3-01-001-01-02-03-0001-02;Cesantias Docentes
230;01;2019;3-01-001-01-02-04-0001-01;Caja de compensación ADMINISTRATIVOS
230;01;2019;3-01-001-01-02-04-0001-02;Caja de compensacion DOCENTES
230;01;2019;3-01-001-01-02-05-0001-01;Riesgos laborales ADMINISTRATIVOS
230;01;2019;3-01-001-01-02-05-0001-02;Riesgos laborales DOCENTES
230;01;2019;3-01-001-01-02-06-0001-01;ICBF Administrativos
230;01;2019;3-01-001-01-02-06-0001-02;ICBF Docentes
230;01;2019;3-01-001-01-03-02-0000-00;Bonificación por Recreación
230;01;2019;3-01-001-01-03-05-0000-00;Reconocimiento por permanencia en el servicio público - Bogotá D. C
230;01;2019;3-01-001-01-03-06-0000-00;PRIMA SECRETARIAL
230;01;2019;3-01-001-02-01-01-0001-00;Sueldo básico
230;01;2019;3-01-001-02-01-01-0009-00;Prima de servicios Prof. Hora Cátedra
230;01;2019;3-01-001-02-01-01-0010-00;Prima de navidad Prof. Hora Cátedra
230;01;2019;3-01-001-02-01-01-0011-00;Prima de vacaciones Prof. Hora Cátedra
230;01;2019;3-01-001-02-02-01-0001-00;Aportes a la seguridad social en pensiones públicas
230;01;2019;3-01-001-02-02-02-0001-00;Aportes a la seguridad social en salud pública
230;01;2019;3-01-001-02-02-03-0001-00;Aportes de cesantías a fondos públicos
230;01;2019;3-01-001-02-02-04-0001-00;Compensar
230;01;2019;3-01-001-02-02-05-0001-00;Aportes generales al sistema de riesgos laborales públicos
230;01;2019;3-01-001-02-02-06-0001-00;Aportes al ICBF de funcionarios
230;01;2019;3-01-001-03-01-01-0001-00;Sueldo Trabajadores Oficiales
230;01;2019;3-01-001-03-01-01-0005-00;Auxilio de transporte
230;01;2019;3-01-001-03-01-01-0006-00;Subsidio de alimentación
230;01;2019;3-01-001-03-01-01-0007-00;Prima de navidad
230;01;2019;3-01-001-03-01-01-0008-00;Prima de vacaciones TO
230;01;2019;3-01-001-03-01-02-0001-00;Prima de antigüedad
230;01;2019;3-01-001-03-01-02-0002-00;Prima Semestral
230;01;2019;3-01-001-03-02-01-0001-00;Aportes a la seguridad social en pensiones públicas
230;01;2019;3-01-001-03-02-01-0002-00;Aportes a la seguridad social en pensiones Privadas
230;01;2019;3-01-001-03-02-02-0001-00;Aportes a la seguridad social en salud pública
230;01;2019;3-01-001-03-02-02-0002-00;Aportes a la seguridad social en salud Privada
230;01;2019;3-01-001-03-02-03-0001-00;Aportes de cesantías a fondos públicos
230;01;2019;3-01-001-03-02-04-0001-00;Compensar
230;01;2019;3-01-001-03-02-05-0001-00;Aportes generales al sistema de riesgos laborales públicos
230;01;2019;3-01-001-03-02-06-0001-00;Aportes al ICBF de funcionarios
230;01;2019;3-01-001-03-03-03-0000-00;Reconocimiento por permanencia en el servicio público
230;01;2019;3-01-001-03-03-04-0001-00;Quinquenios
230;01;2019;3-01-001-03-03-04-0002-00;Organizaciones Gremiales
230;01;2019;3-01-001-03-03-04-0003-00;Cumplimiento de compromisos sindicales (400 SMLM)
230;01;2019;3-01-001-03-03-04-0004-00;Subsidio Familiar
230;01;2019;3-01-002-01-01-01-0002-01;COMPRA DE EQUIPO
230;01;2019;3-01-002-02-01-01-0006-00;DOTACIÓN (PRENDAS DE VESTIR Y CALZADO)
230;01;2019;3-01-002-02-01-02-0002-00;"PASTA O PULPA, PAPEL Y PRODUCTOS DE PAPEL; IMPRESOS Y ARTÍCULOS RELACIONADOS"
230;01;2019;3-01-002-02-01-02-0005-01;"OTROS PRODUCTOS QUÍMICOS; FIBRAS ARTIFICIALES (O FIBRAS INDUSTRIALES HECHAS POR EL HOMBRE) - (farmacéuticos bienestar universitario)"
230;01;2019;3-01-002-02-01-02-0005-02;"OTROS PRODUCTOS QUÍMICOS; FIBRAS ARTIFICIALES (O FIBRAS INDUSTRIALES HECHAS POR EL HOMBRE) (materiales laboratorios Universidad)"
230;01;2019;3-01-002-02-01-02-0005-03;"OTROS PRODUCTOS QUÍMICOS; FIBRAS ARTIFICIALES (O FIBRAS INDUSTRIALES HECHAS POR EL HOMBRE) (Materiales para mantenimiento y reparaciones)"
230;01;2019;3-01-002-02-01-02-0008-00;"MUEBLES; OTROS BIENES TRANSPORTABLES N.C.P. Rectoria"
230;01;2019;3-01-002-02-01-03-0007-00;EQUIPO Y APARATOS DE RADIO, TELEVISIÓN Y COMUNICACIONES
230;01;2019;3-01-002-02-01-03-0009-01; COMBUSTIBLES,  LUBRICANTES, LLANTAS
230;01;2019;3-01-002-02-02-01-0001-00;"Alojamiento; servicios de suministros de comidas y bebidas"
230;01;2019;3-01-002-02-02-01-0002-00;SERVICIOS DE TRANSPORTE DE PASAJEROS
230;01;2019;3-01-002-02-02-01-0006-00;Servicios postales y de mensajería
230;01;2019;3-01-002-02-02-02-0001-07;Servicios de seguros de vehículos automotores
230;01;2019;3-01-002-02-02-02-0001-08;Servicios de seguros contra incendio, terremoto o sustracción
230;01;2019;3-01-002-02-02-02-0001-09;Servicios de seguros generales de responsabilidad civil
230;01;2019;3-01-002-02-02-02-0001-10;Servicios de seguro obligatorio de accidentes de tránsito (SOAT)
230;01;2019;3-01-002-02-02-02-0001-1201; Afiliación ARL Estudiantes en pasantía
230;01;2019;3-01-002-02-02-02-0001-1202; SG-SST
230;01;2019;3-01-002-02-02-02-0002-01; Servicios de alquiler o arrendamiento con o sin opción de compra relativos a bienes inmuebles no residenciales propios o arrendados
230;01;2019;3-01-002-02-02-02-0003-05; Derechos de uso de productos de propiedad intelectual y otros productos similares
230;01;2019;3-01-002-02-02-03-0001-01;SERVICIOS DE INVESTIGACIÓN Y DESARROLLO - Asistentes Académicos - Decanaturas de  Facultades
230;01;2019;3-01-002-02-02-03-0001-02; SERVICIOS DE INVESTIGACIÓN Y DESARROLLO - Pares Académicos
230;01;2019;3-01-002-02-02-03-0001-03; SERVICIOS DE INVESTIGACIÓN Y DESARROLLO - incentivos coordinadores
230;01;2019;3-01-002-02-02-03-0001-04; SERVICIOS DE INVESTIGACIÓN Y DESARROLLO - Instituto De Investigación I3+
230;01;2019;3-01-002-02-02-03-0001-05; SERVICIOS DE INVESTIGACIÓN Y DESARROLLO - contratistas
230;01;2019;3-01-002-02-02-03-0002-01; Servicios de documentación y certificación jurídica
230;01;2019;3-01-002-02-02-03-0002-02; Servicios de arbitraje y conciliación
230;01;2019;3-01-002-02-02-03-0002-03; Otros servicios jurídicos n.c.p.
230;01;2019;3-01-002-02-02-03-0003-011;" Servicios de consultoría en administración y servicios de gestión; servicios de tecnología de la información -  Asistentes Académicos"
230;01;2019;3-01-002-02-02-03-0003-012;" Servicios de consultoría en administración y servicios de gestión; servicios de tecnología de la información -  Consejo Superior"
230;01;2019;3-01-002-02-02-03-0003-013;" Servicios de consultoría en administración y servicios de gestión; servicios de tecnología de la información -  Contratistas"
230;01;2019;3-01-002-02-02-03-0003-02; Servicios de tecnología de la información (TI) de consultoría y de apoyo
230;01;2019;3-01-002-02-02-03-0003-03; Servicios de diseño y desarrollo de la tecnología de la información (TI)
230;01;2019;3-01-002-02-02-03-0003-04; Servicios de suministro de infraestructura de hosting y de tecnología de la información (TI)
230;01;2019;3-01-002-02-02-03-0003-05; Servicios de gestión de red e infraestructura de TI
230;01;2019;3-01-002-02-02-03-0003-06;" Servicios de arquitectura, servicios de planeación urbana y ordenación del territorio; servicios de arquitectura paisajista"
230;01;2019;3-01-002-02-02-03-0003-07; Servicios de ingeniería
